,name,price,url
29,"POCO C31 (Royal Blue, 64 GB)","9,499",https://www.filpkart.com/poco-c31-royal-blue-64-gb/p/itm19effae969b86?pid=MOBG73E7GKQK4KZP&lid=LSTMOBG73E7GKQK4KZPR5ICMK&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_6&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=f89697d2-588e-4fb7-8f2e-0decfd01216d.MOBG73E7GKQK4KZP.SEARCH&ppt=None&ppn=None&ssid=3uye6wp89s0000001672744412131&qH=1036ba3c4ed2c021
30,"MOTOROLA G32 (Satin Silver, 64 GB)","9,999",https://www.filpkart.com/motorola-g32-satin-silver-64-gb/p/itm264e8f39d3934?pid=MOBGEA3CGNUPBCD2&lid=LSTMOBGEA3CGNUPBCD2ASUJ7J&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_7&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=f89697d2-588e-4fb7-8f2e-0decfd01216d.MOBGEA3CGNUPBCD2.SEARCH&ppt=None&ppn=None&ssid=3uye6wp89s0000001672744412131&qH=1036ba3c4ed2c021
31,"realme 9i (Prism Blue, 128 GB)","11,499",https://www.filpkart.com/realme-9i-prism-blue-128-gb/p/itm3e9987219f652?pid=MOBGBMZHMUHYWFAE&lid=LSTMOBGBMZHMUHYWFAEOYWISO&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_8&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=f89697d2-588e-4fb7-8f2e-0decfd01216d.MOBGBMZHMUHYWFAE.SEARCH&ppt=None&ppn=None&ssid=3uye6wp89s0000001672744412131&qH=1036ba3c4ed2c021
32,"realme 9i (Prism Blue, 64 GB)","10,999",https://www.filpkart.com/realme-9i-prism-blue-64-gb/p/itm3e9987219f652?pid=MOBG9VGVKUM4XNRR&lid=LSTMOBG9VGVKUM4XNRRTQDFUL&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_9&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=f89697d2-588e-4fb7-8f2e-0decfd01216d.MOBG9VGVKUM4XNRR.SEARCH&ppt=None&ppn=None&ssid=3uye6wp89s0000001672744412131&qH=1036ba3c4ed2c021
33,"POCO C31 (Royal Blue, 32 GB)","8,499",https://www.filpkart.com/poco-c31-royal-blue-32-gb/p/itm9656ebd21e0b3?pid=MOBG73E7ZBHHQ3RB&lid=LSTMOBG73E7ZBHHQ3RBPQ3FU1&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_10&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=f89697d2-588e-4fb7-8f2e-0decfd01216d.MOBG73E7ZBHHQ3RB.SEARCH&ppt=None&ppn=None&ssid=3uye6wp89s0000001672744412131&qH=1036ba3c4ed2c021
34,"REDMI 9i Sport (Carbon Black, 64 GB)","7,199",https://www.filpkart.com/redmi-9i-sport-carbon-black-64-gb/p/itm4559197007bd1?pid=MOBG6WQWRGRRDBH6&lid=LSTMOBG6WQWRGRRDBH6MSMKC8&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_11&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=f89697d2-588e-4fb7-8f2e-0decfd01216d.MOBG6WQWRGRRDBH6.SEARCH&ppt=None&ppn=None&ssid=3uye6wp89s0000001672744412131&qH=1036ba3c4ed2c021
35,"MOTOROLA e40 (Carbon Gray, 64 GB)","7,999",https://www.filpkart.com/motorola-e40-carbon-gray-64-gb/p/itm0ca635007c9e2?pid=MOBG2EMWUMUFGSZE&lid=LSTMOBG2EMWUMUFGSZEJNGZMU&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_12&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=f89697d2-588e-4fb7-8f2e-0decfd01216d.MOBG2EMWUMUFGSZE.SEARCH&ppt=None&ppn=None&ssid=3uye6wp89s0000001672744412131&qH=1036ba3c4ed2c021
36,"REDMI 10 (Midnight Black, 64 GB)","14,999",https://www.filpkart.com/redmi-10-midnight-black-64-gb/p/itmd93641e4ebb47?pid=MOBGC9GYEBH3GZ4E&lid=LSTMOBGC9GYEBH3GZ4ESWAKTT&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_13&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=f89697d2-588e-4fb7-8f2e-0decfd01216d.MOBGC9GYEBH3GZ4E.SEARCH&ppt=None&ppn=None&ssid=3uye6wp89s0000001672744412131&qH=1036ba3c4ed2c021
37,"POCO M4 Pro 5G (Cool Blue, 128 GB)","16,999",https://www.filpkart.com/poco-m4-pro-5g-cool-blue-128-gb/p/itm509e4403d0303?pid=MOBGBEU7GKRSHG5M&lid=LSTMOBGBEU7GKRSHG5MWVOWEV&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_14&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=f89697d2-588e-4fb7-8f2e-0decfd01216d.MOBGBEU7GKRSHG5M.SEARCH&ppt=None&ppn=None&ssid=3uye6wp89s0000001672744412131&qH=1036ba3c4ed2c021
38,"MOTOROLA e40 (Pink Clay, 64 GB)","7,999",https://www.filpkart.com/motorola-e40-pink-clay-64-gb/p/itm5d6f2871d1bbf?pid=MOBG2EMW2ZUR4BFG&lid=LSTMOBG2EMW2ZUR4BFG7CQBAI&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_15&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=f89697d2-588e-4fb7-8f2e-0decfd01216d.MOBG2EMW2ZUR4BFG.SEARCH&ppt=None&ppn=None&ssid=3uye6wp89s0000001672744412131&qH=1036ba3c4ed2c021
